,cleaned_text
225,"Ok I only remember a small part of this dream. I was adopting  more kittens. In the dream I already had my  current cats. I was at this persons house and got to pick out  kittens. I picked  cute ones and put them in this little soft pet carrying bag. They barely fit in there, or so it seemed. Yeah that's all I remember... :)"
226,"There was a lot more to this dream but I only remember the end. I was working on a computer or something and suddenly it wasn't working right. A message popped up saying that they were having problems because of power outages in Virginia. I looked outside and the sky was extremely dark and gray and it was very windy! I was concerned that maybe a tornado was coming. I was looking out all the windows in my condo to see if I could see anything coming my way, then I woke up."
227,"Torturers! I am in a public building I think a hospital and I am shivering in terror. I am terrified, but I don’t know why. I position myself on a couch lying down with my back against the wall for safety—People—a male and Janet promise they will not leave me alone, but they do. I notice people passing in the hall. I see the same blonde or wht. haired man pass by twice both times looking in my direction. He looks sullen and is in a wht. drs. Coat. The next scene I am being held down by a man that says he’s going to cut my fingers off. First however we must dig a line around the fireplace in the brick  He is using something like a lineoleum or wood cutter. I help because I think at least it will dull the blade but I can’t imagine what its for—perhaps to drain the blood off the altar. In comes another man and gets my other arm and says he is going to cut those fingers off—he also has a small tool kinde like a pizza wheel or dress marker. I am fighting and screaming but I don’t seem to make much noise! Oh my God! "
228,"Oriental Land Owners. I had a strange dream also that was in the orient. Somehow I helped a young couple that was very much in love by allowing him to stay nearby and work. Now he has saved up enough money and is planning their wedding. They thank me tearfully . Another young man says he must go to war next week—WAR! Yes, he must travel a distance to get people to pay their homage or taxes. Next scene I am watching as they  put a smoke or tear gas bomb in a house of sleeping people. When they come out they are a crew of poor people of all ages and none of the tribe that should pay! The soldiers were very disappointed! "
229,"I remember very little of this dream, remembered it later during the day. But my brother appeared in my dream  and in the dream I hadn't seen him in a very long time. It was the ""present"" so he was older. I felt extremely happy to be talking to him and was telling him that we had to start hanging out more and he agreed. I also remember asking him about his best friend Cory. That's all I remember."
230,"In Denial? I am playing tennis with Meg but to me horror I discover that my arms don’t work like they used to. The left throws the ball up but it goes everywhere; worse though my right arm hitches ½ way thru the service swing and won’t go above my head. I used to have a good serve, but my arms are not receiving the messages from my brain doing what I tell them! Moreover I can’t see when I move out on the court to play w/ Amelia who just arrived! All I can see is dog shit on the court, but if I look up I can’t see. So I busily clean up the shit to cover that I can’t see. I try to walk off the court along a walkway and bump into a box of photos  prints  w/ my arm. I still can’t see. A tennis pro walks past me and asks how my arm is. I am confused; what does he mean? "
231,"Ok I remember just a bit of this dream. There was some contest where we had to collect a certain amount of stones, I think, and get them back to the finish line before everyone else. I remember we all ran into what looked like a bedroom. There were all these colorful rocks on the floor, the really smooth, polished kinda stones. We were collecting them and then I remember seeing a bill  over in the corner, I went to look and it was $, I looked around didn't see anyone looking for it so I pocketed it. Went back to getting stones, then one team was already on their way back down. So we grab what we have and head out. I realize there are  ways to get down to the finish line. I look out this window and see this rope hanging down, basically if you go up one flight, from where I was, you could slide down the rope. I chose not to go that way. Got to the finish line and lined up what we had and we were missing something so we didn't win, that's all I remember. My partner in this race was my best friend from grade school, Tammy."
232," I had a dumb dream last night. I dreamt that I kept missing school for one reason or another, even that I was going to meet some people somewhere. We were going on this like underground bus system, and the bus driver couldn’t really see the signs as to where to go, and we were afraid she might fall off the thing, fall off the path and go down into this oblivion. And we got off and Mom called her to make sure she got to the place where she was going, and we were at lunch and then I realized it was : and there was no point in going back. Then I dreamt that I had Chemistry first period. "
233," I am with the platoon on patrol in Antarctica. Those with foot problems are asked to go on sick call. Nearly all are lame, but march to the aid station in the cold, hard snow. They overwhelm the staff who make complaints against them. I am sad because no one cares, no one understands how we suffer. A kind, middle-aged black medic tells me that Timmy Day, whose bad feet should have kept him out of the Army, will go home. But when I speak to Timmy Day, he says he has been denied sick call. He has seen no one."
234," I was dreaming up a storm last night. First of all I had a dream that I was at the pool and I was kind of swimming with some people. And then I went up on the deck and was ready to dry off. And Mom was trying to convince me to listen to a personal player, but I was too chicken. Then I convinced Mom to go in the car and get our lunch and we sat in the car and listened to the radio and ate our lunch. And then I dreamt that we were staying at this hotel, Mom and me, and I think Mom and me and Dad was supposed to come later with Sandra and Uncle Jack. And Mom and I had this room. I’m trying to think. Oh, we went out to dinner at the little restaurant that they had there, and I can’t remember, this was something scary in the room. I don’t remember exactly, but I dreamt that when Dad and Sandra got there, I gave Sandra this purple rose which was called a la la loo flower and I wanted to sing “La La Loo” on a CD along with a harp playing it, which we really don’t have a rendition with no words, but I dreamt that we did."
235,"Ok I just remember bits of this dream. I was at my mom's house and we were arguring FEROCIOUSLY about something. I mean actually screaming at eachother, I remember I even told her to Fuck off. Then someone knocked at the door, right as I told her to Fuck off. I opened the door and there were these  guys. They were coming to ""borrow"" or so I thought so astronomy books I had. But it turns out my mom had said they could have them. I was like ""WHAT?"" Then I went on to explain that they could not have my books. My mom asked why I needed to keep them so I went through each book explaining why I wasn't going to give it away. Wierd... Then I remember a part where Mohammed Ali was in my dream. We were out in my moms backyard. I can't remember what we were doing, he was younger in my dream as well. It started raining and he let me stand under his umbrella to keep from getting wet."
236,"Ok i only remember  scenes from this dream. Scene  I am with some girl and we are walking down this dark street towards this marina. For some reason we are very uneasy, I think there had been a recent rash of murders or something in the area, so we were steady looking over our shoulders to see if anyone was around. I remember as we got closer to the marina the sun was just beginning to rise so we felt better. Scene  I am in a car with my mom, we pull up to her driveway and are about to pull in when this van pulls up next to us. He is going in the opposite direction as we are. I look out the window and this guy is sitting in the driver's seat and does not look too nice. I told my mom to HIT THE GAS and she did we start moving forwards, he hits the gas and starts riding along side of us going backwards. In front of us is a parked car so right before we get to it I tell her to slam on her brakes and immediately go in reverse and hopefully he would go flying past and it would give us a chance to turn around. She does that, he goes flying past, and then I woke up. :)"
237," I dreamt that Dad and I were taking a walk through the city, and we were like, it was like almost like Disney World. There were like these rides set up and these little booths, but somehow I had the notion that it was just the city the way it was. And we were crossing busy streets and going through alleys, and I was carrying Mom’s little flat recorder, the black one that’s flat. And I had the shoulder strap over my shoulder. It was kind of under my arm, the way I carried it. And I was playing the Wee Sing tape as we were walking, and for some reason or another I didn’t want Dad to hear “Blue Bird” when we came to it, and I kept hoping that somehow this tape would stop or something. And I don’t remember exactly what the final – oh, I remember. We had finished our walk before “Blue Bird” was supposed to come on, and we got back to the house and I shut off the tape, and we went on with our day, and then I woke up. That was kind of a strange dream, wouldn’t you say? "
238,"Ok this dream was ALL OVER THE PLACE, I didn't even remember it all. At one point I am at my mom's house. My friend Chyrise and I are supposed to go out. She is supposed to call me but doesn't. I look for her number, and as usual, I can not remember it or find it anywhere, typical dream. I think I was house sitting for my mom by the way. A few times while in my mom's house I had to use the bathroom. Then I find this small round container and pick it up. It looks similar to those small round things that you can put incense in and burn it, and then you hang it up while it burns. Anyway I shake it and hear that something is inside. I open it up and it's a small bag of weed. SCORE! So I stash it in my pocket. Chyrise never does come so I run into my friend Chris  and asked him if he wanted to go out somewhere. He said sure. We go to some restaurant and I have to go to the bathroom really bad. I get to the girls bathroom, and what do you know, there is a LONG ASS LINE. TYPICAL! I wait and then decide I can't wait anymore. I exit the restaurant and they had this little security check you had to go through to get out . This young  black kid was the one doing the checks. Nothing unusual happened I just walked through. Then I am walking down the street back to my mom's house. This part get's frustrating. I have to use the bathroom so bad I decide to run. As I am running I am HARDLY moving forward at all. Kinda like that scene in Poltergiest where the hallway just keeps getting longer no matter how fast she runs. As I turn the corner I run into Kevin Spacey. He starts arguing with me that he doesn't like me. I asked him why, and he said he didn't like the fact that I was intelligent. He only liked really stupid girls. I began to argue about how STUPID that was. At that point we were infront of my/his house. It was now his house. His wife was Sigorney Weaver, she came out on the stoop and I asked her if I could use the bathroom, she said yes. Then I wake up and what do you know, I ran to the bathroom! LOL"
239,"I was in an apartment with my mom and brother. I looked out the window and there was a tornado coming.  Then dream jumped somewhere else. It was very weird we were at some park and this lady would go around and pick up germs from people who had diseases. Then they would give the germs to some volunteer to see how they would react. My friend chyrise was going to sign up to do it but then it shifted to this other guy. The gave him an injection and then he is walking down the street. he seems very out of it. I remember hearing in my dream that it caused the right side of his brain to shut down. lol He is walking across the street . These  black guys pick him up and throw him about  feet, not sure why. Then suddenly I am driving, I am in San Diego and looking for the beach or something. I am driving through this community and come up over this hill and can see the entire downtown san diego . Then I look and notice the highway and it's bumper to bumper traffic as far as the eye can see. So I continue straight and come to this weird looking bridge. It's too small for a car so suddenly my car is gone. I start walking across this bridge and then change my mind. The bridge kinda looks like a water slide. Well when I turn around to go back it appears that I had to climb back up part of the bridge which of course had water coming down it. However I don't remember climbing down that. I can't get back up so I continue forward. Suddenly the bridge is more like a stair case and I am standing over the first floor looking down from the stair case. I see a lady and holler for her. She looks up and then looks kinda mad like I wasn't supposed to be there. I come down the stairs and she and some other lady are there asking me who I was. They wanted me to come somewhere with them. I wasn't comfortable with that so I said I had to go to the bathroom. I had a feeling they worked for the same people that were injecting people with diseases. I go to the bathroom and they of course follow me in. I go into a stall and notice that next to me is someone I know. I try to warn him about what's going on and he freaks out at me for some reason. I leave the stall and these people had the guy restrained and started to walk towards me. Then I woke up. :)"
240," Last night I had an embarrassing dream. I dreamt that I was in school and that I was drawing a picture, and for some reason when I was done drawing the picture, I got up on Frank’s desk and I perched and I did something really sick. And I kept doing that and doing that and doing that for almost like fifteen minutes, and everybody around me was staring at me, but in my dream I just didn’t care. I don’t know what it was about the picture I was drawing, or anything, but oh, it was so embarrassing. I woke up relieved, but when I woke up, I didn’t remember my dream until I got to school and I sat down at my desk. Every so often I’ll have a dream like that, because the dreams tell the truth about your subconscious. "
241," I dreamt that I was living a story, and that there was this poor family that lived in a house and their mom worked ten hours a day for fifty cents an hour. And they had a Santa Claus shaped radio that they’d use to keep in contact with their mom; it was a two-way thing. And the oldest one was kind of hard to deal with ____?___ too much ____?__. And I can’t remember too much, but also Mom and I were sitting at my desk and for some reason I had to take the knobs off the amplifier. First I took the volume knob off while it was pretty loud, then I couldn’t turn it down, so I said, “Give it back to me, put it on and turn it down.” And then I took it off and gave it back to her. And I took the selection off too. I don’t know why, I guess we needed to trace them for something. Then we were talking about what to get those kids a new toy for Christmas. And then I woke up. "
242," First I had a dream that for some reason Mom was, I was trying to show Mom the difference between non-compressed audio and , and she had a CD with ’s on it, and somehow some way it played in my CD player. And it sounded like a tape, it sounded like a cassette tape, and I was trying to tell her that, and I couldn’t seem to figure out how to explain to her the density of each stream of audio difference of the quality. "
243," And then I dreamt that we were practicing on the steps of a fountain-like thing, and it was after school, and we were just having all kinds of bad luck. Mrs. Dougherty thought that if she got, she went home and she got her other shirt, then maybe we would behave better, and so she took her shirt off and she was in her slacks and her bra, and she goes home, then comes back with a baby shirt. And then her CD player won’t work, and for some reason she had it connected to a TV. I didn’t really understand that. "
244," I had a dream last night; actually, I had several choppy ones. I dreamt that I was in Ms. Hanson’s class, and she was having us copy things. She had this bag that stunk and she just wanted us to copy what was due on Monday and make sure we understood everything. Then I was watching a variety show, and they had Jackson Brown perform the stay  song. And then we were having this Christmas party, and Mary Lou was there, and Ms. Alexander and Peter were all there. And it was Allison’s birthday, I think, and Allison didn’t come yet. And then we put on this CD of instrumental stuff, and Ms. Alexander and I were singing. And I was telling Ms. Alexander, I mean, Ms. Alexander was telling me that my grade was gift  of my voice, and I told her that Mrs. Dougherty really brings it out in me and she should volunteer for us sometime. And then she said that she had to go, but then she came back with this big jar that was like a candle thing, and she gave it to Allison for her birthday. And then she was helping us lift things into this truck for some reason. And then I woke up."
245," I dreamt that I was getting radiation done for some reason, and I was so afraid that it wasn’t going to enough, I mean, that it was going to be too much. And the radiation would come from a laser beam from the CD player, and the CD would spin around, and when the CD would be a certain point, they would complete the circuit and the radiation would happen. And next thing I knew I was going to a party at headquarters with Terri. Mrs. Dougherty was at the reception desk. In the back of the, when you get into the party it was like a store, and I was looking at all these different things – stuffed animals and tree-top angels and things, things and then I started thinking about Brittany’s reindeer and I woke up."
246," Last night I had a stupid dream that I was at Uncle Carl and Aunt Joyce’s house and I was feeding chickens back there, in their back yard, and I was sitting out there looking at the flowers and things. And I was singing this song to the tune of “Blue Bird,” something like, “Blue bird, chicken corn in your flowers,” something really stupid like that. I can’t remember, but I think, oh, Dad told me in my dream, “If you were a flower sitting on the fence, and there was this gas in the fence that was affecting you, you would try to burn the fence up.” I don’t remember exactly how it went, but it was something about covering your tracks. I should have said it when I first woke up, because then it was fresh in my memory. "
247," Last night I had a stupid dream that I was at Uncle Carl and Aunt Joyce’s house and I was feeding chickens back there, in their back yard, and I was sitting out there looking at the flowers and things. And I was singing this song to the tune of “Blue Bird,” something like, “Blue bird, chicken corn in your flowers,” something really stupid like that. I can’t remember, but I think, oh, Dad told me in my dream, “If you were a flower sitting on the fence, and there was this gas in the fence that was affecting you, you would try to burn the fence up.” I don’t remember exactly how it went, but it was something about covering your tracks. I should have said it when I first woke up, because then it was fresh in my memory. "
248," I had a couple of dreams last night. First of all I dreamt that I was in Spanish class, and there were only four other people there. And I remember telling Ms. Hammond that I have a mandatory chorus rehearsal to go to, and she let me out, “no problemo.” Then I went and I came into the auditorium and I sat down with four other people who were kind of in the auditorium; we were up in the balcony. And Mrs. Dougherty was kind of pacing around and talking to us, like she does, and kind of instructing the other people as to how they were supposed to stand and all when we went on stage, and then all of a sudden, in poured the class and they were noisier than anything. And they were just real loud and ruckussy in their sound filled the auditorium, and trying to get everybody quieted down, I don’t remember exactly how. But we were supposed to be taking pictures for the yearbook, I guess, and everybody had to be in long pants and some kind of a shirt, which really didn’t make a whole lot of sense, but that’s how it was in my dream. And then Mrs. Dougherty was explaining how some of the boys were so fat that they couldn’t even sit down in their chairs. And then I woke up and it was like :. Then I went back to sleep and I had another dream. I dreamt, first of all, that I was in my bedroom and that it was daylight. And I had this bathtub full of Christmas decorations, which that’s the place I was storing my presents for Christmas. But I was taking the bears out and putting them around, and this one bear I hung on the door, and it was this snoring musical bear where it had a three-way switch to just snore or just snore and play music too. And the other thing was this reindeer. It was just like the mechanical one that I used to have, only the mechanical one doesn’t run any more. But in my dream the mechanical part didn’t run, but for some reason it was playing . and it was sound, and that just made me go bananas in my dream. I closed my door, I closed both of my doors so they latched in my dream, and  I kind of perched on the bed and then it was the bathtub that I perched on. It was so wild that I was kicking my legs around and stuff, and I was holding onto the railing.  Oh, that was another one of those embarrassing dreams. I hope nobody ever listens to this tape. And then when that wild episode was over, I came back into the bedroom from being in the bathtub, I came back into the bedroom, and there I found Mom on my bed snoring away, and I wondered how she got in there and what she saw. And then I woke up."
249,I dreamed Phil was back in my life  and I can’t see or didn’t see.
250," Last night I had a dream that Dad took me to the radio station where I’m going to intern and just kind of set me loose to explore around. And I came to this big foyer area that had a white floor and a big huge Christmas tree, and there were carolers sitting and this elderly woman who was directing them, kind of like Barbara. And I went over to her and I talked to her, and she was this really high soprano that could hit this high B-flat, and she couldn’t understand why I couldn’t. And so I told her that, I told her to tell Mom and Dad to meet at the big Christmas tree at : o’clock. And then she kind of led us on this tour thing, and we went into this other foyer that had carpeting and there were like boxes and stuff all piled all over everywhere. And she watched me go into this other little room where I had to climb over boxes to get to her, and there was like a broadcast booth and I sat there in the back. And it turned out that this is Elizabeth’s car and it’s not a transmitter, but a receiver in there. And Elizabeth’s car drives away and drives back home. And Dad says, “She was sitting over there till we got there.” Then I had this subordinate dream that my watch said : in the morning when I was supposed to have been out the door at :, and Bobby’s clock said : in the morning, and I couldn’t read the time on mine. And I went clear to the microwave and the microwave said : in the morning. That was weird; I didn’t know exactly what time it was."
251,I awoke dreaming I was teaching in a new school. I met the large class in a large unweildly room but was told that even tho’ I had  lg. classes in the a.m. before the other art teacher even began teaching I would meet my classes in a small section of what I thought was the classroom. I did tell one sassy girl who did not want to be in the class to leave and I knew somehow I would have to reduce the no. of my students. 
252," This is the first dream of the year . I dreamt that I was at the radio station – no, first I dreamt that something funky was going on with our amplifier, and Dad was going to get another one to have on reserve in case ours doesn’t work. And we were going to Circuit City or Best Buy and pick one out and then set it up somewhere and make sure that it worked. And I’m waiting and waiting for us to go and Dad’s on the computer and watching TV and talking to Carl and doing stuff and getting computer games, and we haven’t been yet. And then I woke up from that one and I kind of drifted into another dream that we were driving around town up by Zimmerman Park and Mom was scared to carry a two-way radio to keep in touch with me. I don’t why, probably because I was, or I used to be, well, I used to be. I dreamt that I was at the radio station for my first day my title would be “teletist” – and it looks a lot like my bedroom, and I was sitting down talking to either Kira or Rose or somebody, and then I realized I was naked. And so I closed myself in my closet and I got some clothes on and then I came out and started doing some things. And they had this large buffet set up or chicken and bacon and beans and salad, and these big, gigantic cookies. And I took a bite of one of these cookies and then I woke up."
253," Last night I had two odd dreams. First I dreamt that Mom and I were going to take a boat out with Ms. Fletcher and her people, and have like a little parade through the channel. And we were at the park feeding pigeons at the pond and we got up and we went home and we went in the garage and we kind of, we had to climb up this ladder to get on the boat. And Mom started it up to make sure it had plenty of fuel, and we were just standing there watching it run, and I was kind of nervous. Then we shut it off and hitched it up to the car and driving down the street, and then before I knew it, we were in the parade. And I don’t remember too much after that."
254," I can’t believe that I had this – well, yeah, I can because my head comes up with stuff like that. I dreamt that I was by the Christmas tree and we had this angel with a music box. And she had these fiber optic lights that would change different colors and bright and dim depending on the strength of the signal. We were just cleaning garbage out from underneath the couch, and then I woke up."
255," It is dark. I am with the platoon in a foreign country. We are on an exposed slope facing the wood line. A voice mocks us. I am trying to invent a weapon that will fire small grenades more accurately than tossing them. The clumsy firing device resembles a slow-loading flintlock. Only the first grenade explodes in the wood line. Nearby Ed W. quickly chucks grenades one after the other. The platoon retreats. I become separated, lose my weapon and panic. Then we regroup and fall back. An old officer says my boonie hat is worn out. The flimsy material has lost its shape. My CMB pinned in front is missing, as are the encircling love beads, the Cav patch sewn on top, the grenade rings clipped round the brim. There is no ground-in muck, no accumulated sweat. This hat cannot be mine. We enter a large wooden house and line up in a stairwell which leads to a cellar where we will be issued new hats. A pretty American girl with long hair makes her way past. I have no desire for her. It is a good feeling to be with my men."
256," Last night I had a dream that I was in the Navy and that I was trying to install this thing on the ship, and it was this little CD player in a wicker basket that was supposed to hang from one of the doorways and people could just go and sit over there and listen to it on the sound system. And I was walking around the ship with Ms. Fletcher and some other people and all of a sudden we were out on the deck singing Christmas Arlenes. And Ms. Fletcher kind of turned into Mrs. Dougherty and she was leading us in song, and then I realized that we weren’t on a ship but we were in a building and I was singing with the group in this building. And then I went into this office and I started speaking Spanish to Rose Bouvier, who is the promotion lady at the radio station. The only thing I can think why I dream about Rose Bouvier is because I was going to intern there, but now I find out they don’t take anybody unless they’re , and I took it pretty hard. So I think I’m going to have another dream about her tonight."
257," Last night I had a dream that Elizabeth and I were riding home from school and we got out of the car and we started walking down this dirt road, and she told me that this was where her husband’s mom and dad were. And so we were walking down this dirt road, and before we knew it we were in the woods, and there were these geese all around and then there were baby geese in this little area. And then we saw somebody come up behind us and start shooting. And somebody was accusing us of doing that. And then I went inside and Mom had spilled root beer all over my bed and I was talking about how good I take care of a baby when I really don’t have one, and I probably never will."
258," Last night I had a dream that for some reason or another I was getting a keyboard, either I was getting one or Elizabeth was going to bring one over. And it had steel keys, and we were back from a walk, and I got a call from Elizabeth’s cell phone saying that she would be right over bringing the keyboard and we were going to jam. And so I went upstairs to get my sound system set up, get the mixer ready to take the keyboard and mix it with my voice. And I, for some reason the CD burner was sitting on my chair. And then I realized that there were two of them; there was one in its normal position and one that was sitting on my chair. And I was supposed to put it on top of the tape player, which is to my right when I’m sitting at my desk, and the amplifier and CD burner are to my left. And I was supposed to put the second CD burner on top of this tape player, and there was also this extra external CD player that would feed stuff into the mixer for me that I had to, and so I was stacking up all these units and then I turned the light off and I sit down and I turn on my amplifier, and the amplifier is just this massive, this massive receiver like I see in Sound Invision  and it’s got this fluorescent display that these wild colors that change color with the tone that I hear. And it had a tape deck built right into it. I was like, “Wow!” And I exploring all these different functions, and I was listening to a Kenny Rogers tape in it and it sounded pretty good. It didn’t sound as good as my other tape player though for some odd reason. And if I was listening to this tape and watching the display fluorescently change and the indicators flash, I slowly faded into consciousness and my radio came on and startled me awake. I never did get set up to jam with Elizabeth, which she really doesn’t play the keyboard. I was just dreaming that."
259," This is the next day. Last night I dreamt that I was at this farm like type thing, and what in the world is going on with this tape? And I had this dream that there were these horses and this guy stepped away and I had to hold them like dogs on a leash and keep them from running away. And they were starting to like wrestle me down and stuff, and finally the guy came back. They were starting to eat the clothes off my body, and the guy came back and got them under control. And we were taking them down to the water for some reason, and then all of a sudden, when I reached the second floor, I realized that we were at our house. And somehow I had the notion that Dad was going to bring the PU  around front in the truck, and I was going to have to climb out the window and cross this little bridge-like type thing going out in the back of the truck and ride along in the back. And then I woke up."
260," I had a dream that I remember vaguely. We were in the old brown truck that we used to have, and for some reason it was a stick shift. And Dad and Mom and I are starting out on this long road trip and we’re driving this stick shift. And I think the radio was being real difficult, so we just shut it off, and I had the notion that the ____?__, and I think a back-up one too. And I think I remember something like – oh gee, so vague – you would shift the stick shift and there was this chain that would kind of whip around a little bit. And there was this stuffed dinosaur in the truck that was like hanging around on the floor, and I think the stuffed dinosaur got in the way of the chain. I don’t remember. And then I woke up."
261," Last night I had a dream that I was going to be the sound technician at somebody’s wedding, and then I realized that it was Sandra’s wedding instead of Mark and Teresa’s wedding like we’re planning. And Sandra was in town staying with us and we were hanging aaround and it was like : in the afternoon and the wedding was supposed to be at :. And I had to get all my stuff together and hurry up and get over there, and I got over there finally in time. And Sandra took me up in the church to show me their sound board and I was kind of assessing it and everything, and Sandra is standing in front of the window that overlooks the church, you know how sound booths have, and she’s standing in front of this window to keep other people from seeing in. She’s kind of pointing things out here and there, and then up comes the pastor of the church in his loud preaching voice, up into the booth and says, “Now who is doing what up here?” And then I woke up."
262," Last night I dreamt that we were on this boat thing. It was kind of like a boat and a bus all in one. I think it was one of those duck things. And it was supposed to take us from like Fort Henderson all the way up to the top of my home state and then back down, for whatever reason, and it would go on water sometimes and it would go on land sometimes. And we would sit there like we’re sitting on a bus, and then we’d get up and walk around and see all this stuff around. And Elizabeth was there and I was led back in this kitchen area with her and Mrs. Horne was there and she slipped down and she says, “Hide behind me. I’ll get in a lot of trouble.” And so I kind of like hide behind her because she’s so big, I can hide behind her. And they sit down and start eating this breakfast, like eggs and stuff. And she gets up and I kind of get up and I stand and I look at these people sitting on the couch, and then I like go in the bathroom behind someone. And then I woke up."
263,All I remember is myself and a guy and his girlfriend were walking through the stands at this football game looking for some guy. Don't remember anything else.
264,"I only remember a portion of this dream. First I am in my mom's house , in my bedroom and we are all going somewhere and I am looking for some white shorts. Now usually my dreams are pretty vivid and clear however if I ever start to look for something things become quite blurry and it's hard to see. I was looking through this pile of clothes and I could hardly see them. I thought it was wierd but of course it didn't alert me that I was dreaming. I kept thinking to myself that if I saw a peice of white clothing, even though I couldn't see them that well if it was white it was a good chance it was my shorts, but I couldn't find them. Then there is another scene where I am in the hallway in the upstairs part of our house. I come up the stairs and see this big pile of shit on the floor of the hallway. There is this cat there who obviously laid the shit *grin*. A friend of mine was in the bathroom, and my mom was up there too, and my mom said ""That cat shit on my carpet"" and she went to grab the cat. My friend was the owner of the cat and freaked otu cuz she thought my mom was going to hurt the cat or something, I told my friend not to worry about it that she wouldn't hurt the cat. Then I go into my mom's room, she is in there standing in front of her dresser. I remember tell her to pay attention or we would crash, turns out our house was now a  commercial airliner. She said ""Don't worry we are only going  miles an hours"" then suddenly I am outside of the plane watching it, now longer participating in the dream, but observing. I see the plane land on the highway and then it immediately takes off again. It was very ominous looking, it was late at night and there were no cars in sight. Very weird. That's all I remember."
265,"First dream was short I had a horse, who was like a pet, lived at home with us. I remember in the dream I was hugging the horse and brushing him etc. Then I remember it was night and time to go to bed, I was laying in my bed and my cat was there and then I looked over and the horse was sleeping in the bed too haha but it had to be a small horse because it actually fit in the bed. Then I was awakened for real at : AM because someone was knocking extremely loud next door. The next dream was weird, my brother  and my mom were in it. At one point in the dream me and my mom got in an argument that was so bad I actually walked out. I remember me and my brother were talking about getting an apartment together and being roommates. Then there was another part of the dream where there had been some kinda contest or game and we each ""won"" someone to date. It was odd but I was supposedly dating this one guy I don't remember much beyond that. Then I was in this place that was like / my job and / the house I grew up in. This chick I work with named Dorn was sitting at the receptionist desk. While I was down the hall where I couldn't see her I heard her saying something about Christians and how great they were *cough*. Then I go into this room which looks like a studio apartment, I see this kitten running around so I go in to get the kitten. The room is pretty dark and I think the TV is on. Then this guy comes out of the bathroom in a robe and starts talking to me, we have a pretty detatil conversation but I don't remember most of it."
266," This is either January  or February . I think it’s January . I don’t remember too much about my dream last night because I let myself sleep in until like : this morning, off and on. And so I was kind of dozing and having different little scenes going on. But the one that I can remember most is that we had, I was back in my home town, of course, and we had this thing going on where we had chickens, of course, I think we had three of them. We haven’t had three in a few years. And we also had this cow, this mini, mini, mini, miniature cow that was like the size of a Chihuahua dog that kind of was there to keep an eye on the chickens and stuff like that. She would run her dogs off because the chickens were just too chicken. I can’t really remember any kind of situation except I picked her up once, holding her and showing her to the kids on the porch, just like a Chihuahua person would pick up their Chihuahua dog. And then I went around to the front gate and put her in the yard and she ran over and kind of made friends with the chickens, and that’s all. And then I woke up."
267,"This was a WEIRD WEIRD DREAM. I am at some observatory where you can observe the stars but uh in real life i don't know any observatory like this. You get on this contraption that is like a ride. Try and picture this. They have this huge ring/circle that goes up about  stories in this HUGE room. The circle is hollow it's just like a big ring. They strap you to it and you start spinning around. Because it's so large it takes you a bit of time to get all the way around. So I am on this contraption and it starts to spin, somehow this helps you view the stars. Of course I don't remember viewing any stars while on it, but I did gain this vision of people who were living on mars. People from earth who had colonized there, it was interesting. Then at some point I start getting a little nauseated from all the spinning. Towards the end of the ride I could REALLY feel the force of this thing as it spun. Because of the way it was set up you were making revolutions like you would on a ferris wheel, however much faster and you were just strapped in. I was amazed, when I woke up, how REAL it felt. Finally I yelled ""Hey get me down from here"" and the lady let me off. I couldn't stand up and kept stumbling because I was dizzy, felt way too real. Then I am in my mom's house. She and my dad  come home from some movie and my dad was drunk . All I remember is being mad because my mom had promised she would see that movie with me. I think it was new years eve so I was a bit upset she would rather spend it with my asshole father then with me, in real life she wouldn't have though. That's all I remember."
268," I had a dream that I was in Spain with Mom and Dad, and somehow we got our car over there and we were riding on a bus, and we were riding back to our hotel where our car was. And I was asking the bus driver in Spanish where this mountain with these carvings on it was so that we could drive over to it. And I was constantly translating for Mom and Dad in different places. And then we were in our car and it was like we were driving through an amusement park. It was all kinds of stuff, only it was all in Spanish. And I was constantly translating. And then next thing I knew we were in this auditorium watching this show, and again it was all in Spanish because we were supposed to be in Spain. And the person next to us who was giving us these candies, this box of candy called Blue Bird Song Candies, and it was the oddest, dumbest thing. And then I thought that I had woken up, but I was still dreaming, so I was basically dreaming of waking up. And I dreamt that I was telling Mom what a scary, scary dream I had. And she said, “You have scary dreams almost every two weeks.” "
269," I’ve got a lot of updating to do on this tape. First of all, a couple nights ago I had a dream that I was coming home from a trip and on the way home we stopped at school and it had kind of renovated, and first of all the librarian had left the library, and second of all, the lobby had been renovated and everything and the bathrooms had amazing turnstiles called “yoo hoo” turnstiles because you had to say, “Yoo hoo” when you went through them. And Mom and I were talking about eating lunch in the lobby, and then we continued on home and my house had been renovated. There was a bed in the dining room with a tape player just sitting on top of it, and where the monitor is there was a shelf full of books and I was thinking, “How strange is that!” And it was an old-fashioned antique bed and I called it the dench beds. And last night I had a kind of a hodge podge dream. First I had a really kind of scary dream that I was with this girl, this other teenager, in this house and we were eating these candies, and first she gave me this one candy that was out of a pot of, you know, she just made it and she gave it to me. And it was so good. But then we went in this other room and there was a big accordion-shape candy, and just being near it made me short of breath, and I couldn’t breathe very well. And she gave me a piece and I was almost ready to pass out and I ran out of the room. And then I woke up. Gee, I don’t know. Oh, and then I had another little dream that night that Canada and Russia were going to war for some reason, and we were going to get inside of Canada. Dad was thinking about going over there and videotaping most of the whole thing. I know there was more, but I can’t think of it now."
